Fecha,norm_DemandaEnergiakwh,norm_prom_precio_ofertado_hidraulica_ $/kWh,norm_prom_precio_ofertado_termica_ $/kWh,norm_precio_ofertado_medio_por_cantidad_hidraulica_ $/kWh,norm_precio_ofertado_medio_por_cantidad_termica_ $/kWh,norm_enzo,norm_precio_bolsa_ponderado,precio_bolsa_ponderado
2009-04-21,0.03478083322152545,-0.6518812138905076,-0.7073237231601467,-0.3290998201764585,-0.6822942437330543,-0.7136436311683461,-0.2958394204830003,94.10518
2009-04-22,0.06440970727163481,-0.39085736424117085,1.051464874901849,-0.11639539372221454,-0.13147198591225825,-0.7136436311683461,-0.2735977598529744,97.12968
2009-04-23,0.02389607992502727,-0.37302580698415816,-0.6303716444078256,-0.10215985877528126,-0.5545214803730872,-0.7136436311683461,-0.3025660305842792,93.19047167
2009-04-24,0.03440649176231913,-0.554717278837293,-0.5718053640155598,-0.25830586805213773,-0.25188117762618395,-0.7136436311683461,-0.26028273033462723,98.940305
2009-04-25,-0.2142601006769302,-0.5531591328496128,0.14735564260736764,-0.30686305806957315,-0.40135010144218114,-0.7136436311683461,-0.2388334449510503,101.857055
2009-04-26,-0.8504883924107305,-0.2794270786703987,-0.4731822594264125,-0.13521774723013974,-0.47100960070217157,-0.7136436311683461,-0.1944052774204495,107.898555
2009-04-27,0.03385579869082775,0.6620759662376917,-0.6981125674871453,-0.11387265301572104,-0.6607380600322657,-0.7136436311683461,-0.15087213210987094,113.8183467
2009-04-28,0.09256537818026266,-0.28914836658132687,-1.0586324565855698,-0.005451463606155148,-0.6988088579436533,-0.7136436311683461,-0.10647644424285248,119.85543
2009-04-29,0.07812654484476807,-0.3141477025742955,-0.9041555530889521,-0.14716391042343965,-0.9460540463588244,-0.7136436311683461,-0.21752480157757403,104.75468
2009-04-30,-0.06412357029087692,-0.28064149383101145,-0.8677026837887253,-0.011355977411417705,-0.9972785772929702,-0.7136436311683461,-0.1906125392918544,108.414305
2009-05-01,-0.8609557441610963,0.6829759227374262,-1.4720479860378874,-0.21874587581702706,-1.1322941051285864,-0.6049218448883313,-0.2749952573307063,96.93964333
2009-05-02,-0.6618906212333135,0.7078178815845141,-0.1865677239848241,-0.22413530960618958,-0.6329001963109595,-0.6049218448883313,-0.33091409152422574,89.33560167
2009-05-03,-1.1228634936487263,0.6754432936812903,-0.7769188776632563,-0.24442399109103038,-0.5098138751766951,-0.6049218448883313,-0.3295352482879454,89.52310167
2009-05-04,-0.29144224107529193,-0.2847758460233299,0.5497286484963219,-0.07829285141424515,-0.04613683671631535,-0.6049218448883313,-0.1742434881956697,110.6402267
2009-05-05,-0.10128723827855625,0.55177383355426,1.0624842163618262,-0.0886103424066729,0.47035514162372916,-0.6049218448883313,-0.14363653934619033,114.8022683
2009-05-06,-0.014203441710667843,-0.40388399777979817,0.5859201396087224,-0.19736395127739825,-0.10355446654100511,-0.6049218448883313,-0.17231617200608554,110.90231
2009-05-07,0.04264452832556569,-0.3784191468057705,0.330219530074835,-0.1657421364256564,-0.3586709838246501,-0.6049218448883313,-0.169436228099908,111.293935
2009-05-08,0.018063493778838646,-0.4036902301227076,-0.6582441236564701,-0.1915207911369036,-1.0519054350727013,-0.6049218448883313,-0.2532447712533785,99.89735167
2009-05-09,-0.25539871236728007,0.524525847530958,-1.5413151989927356,-0.13853833882036176,-1.1482200377998408,-0.6049218448883313,-0.29874138911180537,93.71056
2009-05-10,-0.9222542662973041,-0.35400764162739917,-1.254422255731405,-0.19615943854294127,-0.8876842020545869,-0.6049218448883313,-0.24864372484835556,100.5230183
2009-05-11,-0.028919605086749765,-0.3791006713716319,-0.6531444880580471,-0.1493689585791061,-0.6534416502827805,-0.6049218448883313,-0.19319032680045717,108.0637683
2009-05-12,0.09811522472720488,0.4964786880731681,-0.8928057416527768,-0.14224536720759742,-1.0442484308534252,-0.6049218448883313,-0.2631669271816519,98.54810167
2009-05-13,0.02089377486925405,-0.38864086332133696,-1.1443510456220694,-0.16429091059349213,-1.0700585484480014,-0.6049218448883313,-0.23960402859130173,101.7522683
2009-05-14,0.05739819797501704,-0.383368876623092,0.05982455069546959,-0.2513794802862799,-0.002427783839067948,-0.6049218448883313,-0.2671854892404145,98.00164333
2009-05-15,0.011838173674002932,-0.2892449079925058,-1.3493551612768944,-0.030789284347066088,-1.1879703224465064,-0.6049218448883313,-0.1734195532498456,110.7522683
2009-05-16,-0.28729599468175143,1.2739114505110816,-1.162406099472197,0.08836651215173086,-0.8303595982361202,-0.6049218448883313,-0.18338399370403152,109.3972683
2009-05-17,-0.9010522584713666,1.2797654195489079,-1.4216508734528632,0.04562418192653453,-0.9200521369629917,-0.6049218448883313,-0.16990197045903507,111.2306017
2009-05-18,-0.06138416978593358,1.4799993632887587,-1.4280888609798115,0.05780727720274158,-1.0047374114090541,-0.6049218448883313,-0.03507867881554372,129.5643517
2009-05-19,0.021106190205932778,-0.29004266361486863,-0.6766732297122635,0.05016208944213975,-1.0310523845833808,-0.6049218448883313,0.0626016396483805,142.8472683
2009-05-20,-0.04317451342783662,0.02441814103691521,-1.30340840711899,0.1388109902500695,-0.8583709929865587,-0.6049218448883313,-0.019449031117894082,131.6897267
2009-05-21,-0.019122533717964747,0.14098403750215435,0.6153712541308157,0.21690456352911575,-0.8336341408818452,-0.6049218448883313,0.018248848881363015,136.8160183
2009-05-22,0.05353000289655174,0.15114360658623885,0.5071500581872963,0.21730875755455575,-0.1597935132442124,-0.6049218448883313,0.0559295709230793,141.9399767
2009-05-23,-0.21953369909501688,1.0821669522475095,-1.292395074782439,0.1198577892999346,-0.8497121110279992,-0.6049218448883313,0.0324270342656216,138.7440183
2009-05-24,-0.9299147783781104,1.211924556715021,-1.3794881549476417,0.08742739660654666,-0.8872392996300016,-0.6049218448883313,-0.04151021697902675,128.6897683
2009-05-25,-0.8698591564394061,1.2738359953374603,-1.4402342331475977,0.08170895218481,-0.9637693903074525,-0.6049218448883313,-0.030085427842560516,130.2433517
2009-05-26,0.000496853626680864,1.0977013584844109,0.7756012739720494,0.06818353652800783,-0.34011807138745237,-0.6049218448883313,-0.03986540995782069,128.913435
2009-05-27,0.12088261457417415,1.0384033453835118,0.910396516554134,0.25205432537326367,0.5040614368308141,-0.6049218448883313,0.015748546479574646,136.4760183
2009-05-28,0.10477150633854498,2.0235582853752465,0.5147106306902477,0.2936665456575029,0.7082148995204066,-0.6049218448883313,0.04697781397841179,140.722685
2009-05-29,0.044041997645820494,1.2902446166539348,0.7281302252105386,0.2876310263860645,-0.8335799856600119,-0.6049218448883313,0.11690355063430852,150.231435
2009-05-30,-0.2790200912078915,1.3688926421367595,-1.1028531870941214,0.17527006252901361,-0.9347930812535779,-0.6049218448883313,0.030441194086025337,138.4739767
2009-05-31,-0.876258087313473,1.3226484626857058,-0.5913121142094373,0.025342044641569618,-0.9667308999384544,-0.6049218448883313,-0.03253547931375427,129.910185
2009-06-01,-0.03986566671471719,1.3156950337174302,-1.2525622751811807,0.19356264961870218,-0.9421937919849082,0.1923712544984423,0.07876661679791429,145.0454393
2009-06-02,0.10692847769453052,1.367750567106035,-0.8652088791528353,0.2603669361613629,-0.9482669129862412,0.1923712544984423,0.10098744181971973,148.067106
2009-06-03,0.1256942366827779,1.4028994884227084,-0.8342147074911571,0.3242378288126412,-0.9096704072738546,0.1923712544984423,0.17219703448826998,157.7504393
2009-06-04,0.12374643492827567,1.1663779725410033,-0.3535587583033243,0.2548659254644626,-0.8230931746417633,0.1923712544984423,0.234805709703639,166.2641893
2009-06-05,0.06034676808144368,0.280539265483818,-0.7929598113133111,0.27641384759581533,-0.7935580168149335,0.1923712544984423,0.23083127092259056,165.723731
2009-06-06,-0.30108027141950083,1.3525109318866664,-1.3093749401829027,0.04849238584339366,-0.9022303071560404,0.1923712544984423,-0.06511414236964305,125.4800227
2009-06-07,-0.9475565753319046,1.3616341118142732,-0.28297122666571617,0.1288740725592469,-0.8880556581070446,0.1923712544984423,-0.12295814866989885,117.6141893
2009-06-08,-0.1083506793383009,0.13749061755202133,-0.7449919319237943,0.04704861406815514,-0.8962806010536516,0.1923712544984423,-0.07878154318238952,123.621481
2009-06-09,0.04779514944346997,0.1124113799690718,-0.2538969960783078,-0.006210134821936501,-0.58687309582631,0.1923712544984423,-0.08136457617835474,123.270231
2009-06-10,-0.023059610510021953,1.0725660111911866,-0.6032654230182972,-0.017326285650590363,-0.5023362353713557,0.1923712544984423,-0.07494682718261762,124.1429393
2009-06-11,-0.013201591447011626,1.0620054671154846,-0.4271892227522816,-0.012652957887030658,-0.6393905886317033,0.1923712544984423,-0.04295766410091386,128.4929393
2009-06-12,-0.0017070005710164509,1.0678001834215853,-1.3294652498324409,-0.07625285445524223,-1.1306731616094767,0.1923712544984423,-0.09807768800498497,120.9975227
2009-06-13,-0.4157052130323489,1.0238743256825267,-1.4093225474544289,-0.21527431573988118,-1.1654523489006645,0.1923712544984423,-0.22622553992723107,103.5715227
2009-06-14,-1.0701193590661464,1.0352945365100519,-0.702292724357047,-0.12193565218896961,-0.7714878523051025,0.1923712544984423,-0.22993707999994503,103.0668143
2009-06-15,-0.9358185543162522,0.03254539282613845,-1.359097288081326,-0.21838351497039513,-0.9284878144588868,0.1923712544984423,-0.27242475526207244,97.28918933
2009-06-16,-0.09054529733065701,0.9692794612402003,-0.7753579017802531,-0.24019357809924222,-0.7839917905260363,0.1923712544984423,-0.2509178646025393,100.2137727
2009-06-17,0.005191268631005189,0.9857738148990206,-0.6092449548164431,-0.19476929835796788,-0.5913824305115384,0.1923712544984423,-0.23611521692730514,102.2266893
2009-06-18,0.026634398518238806,0.9679949825304078,-0.5786625837481567,-0.22573710315318463,-0.5868569251858924,0.1923712544984423,-0.21282808646944293,105.393356
2009-06-19,0.02260824432692923,1.0106609665075938,-0.18435775036663438,-0.15625458825738822,-0.581492982386502,0.1923712544984423,-0.18421249317250502,109.284606
2009-06-20,-0.28876739463701323,1.125167874851978,-1.3878685944565876,0.010635406082280252,-0.7850523196892495,0.1923712544984423,-0.14403912921432951,114.7475227
2009-06-21,-1.0068412269705211,0.17585157254616607,-1.408845373516835,-0.035982937665102806,-0.7500077133644736,0.1923712544984423,-0.07233928092775203,124.4975227
2009-06-22,-1.0142672527153196,0.1972762891025159,-0.8145672599654846,-0.01795946485752433,-0.7816876656160854,0.1923712544984423,-0.05380149988511081,127.018356
2009-06-23,-0.1603902730011261,1.1954672239107065,0.5805256767614525,0.12616299421969254,-0.8007137623715634,0.1923712544984423,0.024791645354044094,137.705731
2009-06-24,-0.0524349565776438,1.205761632835435,0.05920747580360369,0.18796489917403283,-0.7020682171416998,0.1923712544984423,-0.000333023523367625,134.2891893
2009-06-25,-0.06806749919056894,1.2175659821355909,0.12741424340181165,0.14410481444561934,-0.7883408749746119,0.1923712544984423,0.034903469074835825,139.0807727
2009-06-26,-0.022110773921224434,1.2450652753580593,0.037646420334765715,-0.10674434022662899,-0.848922794315054,0.1923712544984423,0.004571981482493636,134.9561893
2009-06-27,-0.3686590026490716,1.2396280840094924,-0.09465275630440814,-0.01820308837429745,-0.5596970340251116,0.1923712544984423,-0.028678976120083043,130.434606
2009-06-28,-1.0560184428282204,0.21822648166326192,-0.6228209908791061,0.020967789850863956,-0.7373996300082178,0.1923712544984423,-0.072137050586431,124.5250227
2009-06-29,-1.0383777277861581,1.3847465604173501,-0.9476961412645234,0.01112832482320045,-1.0622680420252728,0.1923712544984423,-0.1455711777448964,114.5391893
2009-06-30,-0.26570608543623553,2.132952484633924,-0.002397702906084276,-0.02465091440908585,-0.7223960745876127,0.1923712544984423,-0.1187238740509583,118.189981
2009-07-01,-0.18013047382249053,0.22497445453788925,-0.19936173134095167,0.10262542576089836,-0.6912567482332602,0.8567821706540871,-0.04788317894030033,127.8231503
2009-07-02,-0.1263298884975223,2.440568195175662,-0.463116447749797,0.08735399820559206,-0.7753491951148592,0.8567821706540871,-0.049612554277948556,127.5879837
2009-07-03,-0.09576984908356832,1.5395189042633872,-0.7832417871408782,0.13017290405741672,-1.0568795597564704,0.8567821706540871,-0.07039907567928666,124.7613587
2009-07-04,-0.41391356720447126,2.4342532599706774,-1.3827711524448403,0.008950353852172466,-0.8781088899113364,0.8567821706540871,-0.1304553591046246,116.594692
2009-07-05,-1.0509796192559366,1.4666772113001707,-1.3002833755824101,-0.07931321353110636,-0.7314398923881369,0.8567821706540871,-0.1857806776912252,109.0713587
2009-07-06,-0.18703451322041514,1.381815248065253,-1.292742791966654,0.051221785493910536,-1.0306173029090608,0.8567821706540871,-0.10027401246536062,120.6988587
2009-07-07,-0.01821733423568357,1.399185337013314,-1.4157228476415373,0.015825025250554597,-1.0474500787010206,0.8567821706540871,-0.08296799804712976,123.052192
